id,name,slug,category,pricing,website,description,tags,featured,verified
251,Shopify Magic,shopify-magic,AI Ecommerce,Freemium,https://www.shopify.com/magic,"AI tools for product descriptions, emails and online store management","ecommerce,marketing,content",true,true
252,Shopify Sidekick,shopify-sidekick,AI Ecommerce Assistant,Freemium,https://www.shopify.com/sidekick,"AI assistant for Shopify merchants and store optimization","ecommerce,assistant,sales",true,true
253,Adobe Sensei,adobe-sensei,AI Marketing Platform,Paid,https://business.adobe.com/products/sensei.html,"AI technology powering Adobe personalization and marketing solutions","marketing,analytics,enterprise",true,true
254,Persado,persado,AI Marketing Copy,Paid,https://www.persado.com,"AI-generated marketing language and messaging optimization","marketing,copywriting,conversion",true,true
255,Phrasee,phrasee,AI Marketing,Enterprise,https://phrasee.co,"AI-powered brand language and marketing content optimization","marketing,email,enterprise",true,true

256,Albert AI,albert-ai,AI Advertising,Paid,https://albert.ai,"Autonomous AI platform for digital advertising campaigns","ads,marketing,automation",true,true
257,Pattern89,pattern89,AI Advertising Analytics,Paid,https://pattern89.com,"AI creative intelligence and advertising performance analytics","ads,analytics,optimization",true,false
258,Crayon,crayon,AI Competitive Intelligence,Freemium,https://www.crayon.co,"AI-driven market and competitor intelligence platform","market,research,business",true,true
259,People.ai,people-ai,AI Sales Intelligence,Paid,https://people.ai,"AI revenue intelligence and sales analytics platform","sales,crm,analytics",true,true
260,Salesloft AI,salesloft-ai,AI Sales Assistant,Paid,https://www.salesloft.com,"AI-powered sales engagement and automation platform","sales,email,crm",true,true

261,Outreach AI,outreach-ai,AI Sales Platform,Paid,https://www.outreach.io,"AI sales execution and customer engagement platform","sales,automation,crm",true,true
262,Apollo AI,apollo-ai,AI Sales Intelligence,Freemium,https://www.apollo.io,"AI-powered prospecting, lead discovery and sales automation","sales,leads,b2b",true,true
263,Lavender,lavender,AI Email Assistant,Freemium,https://www.lavender.ai,"AI email coaching and sales communication assistant","email,sales,writing",true,true
264,Regie.ai,regie-ai,AI Sales Automation,Paid,https://www.regie.ai,"AI platform for sales outreach and content generation","sales,automation,content",true,true
265,Clay,clay,AI Sales Intelligence,Freemium,https://www.clay.com,"AI-powered prospecting and data enrichment platform","sales,data,automation",true,true

266,Zoho Zia,zoho-zia,AI CRM Assistant,Freemium,https://www.zoho.com/zia,"AI assistant integrated into Zoho business applications","crm,assistant,business",true,true
